"Estado","Año","Obesidad","Mortalidad_cardiovascular"
"SC",2017,34.1,172
"SD",2017,31.9,150.1
"TN",2017,32.8,202.2
"TX",2017,33,169.2
"UT",2017,25.3,150.2
"VT",2017,27.6,152.5
"VA",2017,30.1,154.5
"WA",2017,27.7,138.8
"WV",2017,38.1,192
"WI",2017,32,157.6
"WY",2017,28.8,148.9
"AL",2018,36.2,224.7
"AK",2018,29.5,129.7
"AZ",2018,29.5,136.4
"AR",2018,37.1,217.4
"CA",2018,25.8,139.7
"CO",2018,23,124.3
"CT",2018,27.4,142.1
"DE",2018,33.5,159.1
NA,2018,24.7,NA
"FL",2018,30.7,143.1
"GA",2018,32.5,175.8
"HI",2018,24.9,125.6
"ID",2018,28.4,157.9
"IL",2018,31.8,163.9
"IA",2018,35.3,165.1
"KS",2018,34.4,158.9
"KY",2018,36.6,198.3
"LA",2018,36.8,212.2
"ME",2018,30.4,147
"MD",2018,30.9,161.9
"MA",2018,25.7,131.5
"MI",2018,33,195
"MN",2018,30.1,119
"MS",2018,39.5,222.1
"MO",2018,35,188.4
"MT",2018,26.9,163.2
"NE",2018,34.1,145.7
"NV",2018,29.5,190.7
"NH",2018,29.6,151
"NJ",2018,25.7,163
"NM",2018,32.3,148.2
"NY",2018,27.6,171.9
"NC",2018,33,155.5
"ND",2018,35.1,140
"OH",2018,34,191.1
"OK",2018,34.8,228.5
"OR",2018,29.9,128.4
"PA",2018,30.9,176.1
"RI",2018,27.7,158.9
"SC",2018,34.3,167
"SD",2018,30.1,156.3
"TN",2018,34.4,202.4
"TX",2018,34.8,170
"UT",2018,27.8,146.4
"VT",2018,27.5,150.5
"VA",2018,30.4,147.9
"WA",2018,28.7,135.4
"WV",2018,39.5,196.4
"WI",2018,32,157.8
"WY",2018,29,152.7
"AL",2019,36.1,219.6
"AK",2019,30.5,129.7
"AZ",2019,31.4,134
"AR",2019,37.4,226.5
"CA",2019,26.2,136.9
"CO",2019,23.8,127.7
"CT",2019,29.1,143.1
"DE",2019,34.4,154.3
NA,2019,23.8,NA
"FL",2019,27,140.1
"GA",2019,33.1,175.5
"HI",2019,25,120.3
"ID",2019,29.5,150.7
"IL",2019,31.6,162
"IA",2019,33.9,172.9
"KS",2019,35.2,166
"KY",2019,36.5,196.4
"LA",2019,35.9,207.8
"ME",2019,31.7,142.4
"MD",2019,32.3,159.3
"MA",2019,25.2,127.2
"MI",2019,36,193.8
"MN",2019,30.1,116.7
"MS",2019,40.8,226.7
"MO",2019,34.8,187
"MT",2019,28.3,157.1
"NE",2019,34.1,144.9
"NV",2019,30.6,198.1
"NH",2019,31.8,143.4
"NJ",2019,26.7,158
"NM",2019,31.7,158.2
"NY",2019,27.1,166.6
"NC",2019,34,154.7
"ND",2019,34.8,147.7
"OH",2019,34.8,188.8
"OK",2019,36.8,231.4
"OR",2019,29,131
"PA",2019,33.2,172.9
"RI",2019,30,159.3
"SC",2019,35.4,164
"SD",2019,33,158.1
"TN",2019,36.5,202.8
"TX",2019,34,163.4
"UT",2019,29.2,146.5
"VT",2019,26.6,151.6
"VA",2019,31.9,149.1
"WA",2019,28.3,134.8
"WV",2019,39.7,197.4
"WI",2019,34.2,158.8
"WY",2019,29.7,150.4
"AL",2020,39,237.5
"AK",2020,31.9,139.8
"AZ",2020,30.9,144.8
"AR",2020,36.4,222.5
"CA",2020,30.3,144
"CO",2020,24.2,128.1
"CT",2020,29.2,138.4
"DE",2020,36.5,159.6
NA,2020,24.3,NA
"FL",2020,28.4,143.1
"GA",2020,34.3,183.7
"HI",2020,24.5,125
"ID",2020,31.1,151.9
"IL",2020,32.4,171.4
"IA",2020,36.5,172.9
"KS",2020,35.3,167
"KY",2020,36.6,204.5
"LA",2020,38.1,221.5
"ME",2020,31,146.2
"MD",2020,31,168.3
"MA",2020,24.4,126.9
"MI",2020,35.2,205
"MN",2020,30.7,118.1
"MS",2020,39.7,245.6
"MO",2020,34,196.7
"MT",2020,28.5,162.7
"NE",2020,34,143.8
"NV",2020,28.7,201.3
"NH",2020,29.9,146.5
"NJ",2020,27.7,166.3
"NM",2020,30.9,152.7
"NY",2020,26.3,183.9
"NC",2020,33.6,156.2
"ND",2020,33.1,147.3
"OH",2020,35.5,196.9
"OK",2020,36.4,244.1
"OR",2020,28.1,134
"PA",2020,31.5,175.7
"RI",2020,30.1,150.5
"SC",2020,36.2,170.9
"SD",2020,33.2,155.2
"TN",2020,35.6,212
"TX",2020,35.8,173.9
"UT",2020,28.6,155.6
"VT",2020,26.3,167.1
"VA",2020,32.2,152
"WA",2020,28,134.6
"WV",2020,39.1,197.8
"WI",2020,32.3,162.2
"WY",2020,30.7,160.4
"AL",2021,39.9,247.5
"AK",2021,33.5,154.7
"AZ",2021,31.3,158.3
"AR",2021,38.7,231
"CA",2021,27.6,147.8
"CO",2021,25.1,135.1
"CT",2021,30.4,136.7
"DE",2021,33.9,162.7
NA,2021,24.7,NA
"FL",2021,30,151.3
"GA",2021,33.9,195.2
"HI",2021,25,126.5
"ID",2021,31.6,166.4
"IL",2021,34.2,169.8
"IA",2021,36.4,184.9
"KS",2021,36,176.1
"KY",2021,40.3,217.5
"LA",2021,38.6,235.5
"ME",2021,31.9,168.4
"MD",2021,34.3,165.2
"MA",2021,27.4,134
"MI",2021,34.4,209.6
"MN",2021,32.4,123.9
"MS",2021,39.1,255.2
"MO",2021,37.3,202.4
"MT",2021,31.8,175.2
"NE",2021,35.9,160.8
"NV",2021,31.3,208.1
"NH",2021,30.6,154.1
"NJ",2021,28.2,157.5
"NM",2021,34.6,156.5
"NY",2021,29.1,162.3
"NC",2021,36,170.9
"ND",2021,35.2,152.8
"OH",2021,37.7,204.7
"OK",2021,39.4,264.2
"OR",2021,30.4,148.5
"PA",2021,33.3,180.6
"RI",2021,30.1,158.7
"SC",2021,36.1,189.1
"SD",2021,38.4,153
"TN",2021,35,223.8
"TX",2021,36.1,180.7
"UT",2021,30.9,162.4
"VT",2021,29,175.7
"VA",2021,34.2,167.2
"WA",2021,28.8,147.7
"WV",2021,40.6,223
"WI",2021,33.9,171.7
"WY",2021,32,159.4
"AL",2022,38.3,234.2
"AK",2022,32.1,145.7
"AZ",2022,33.2,148.5
"AR",2022,37.4,224.1
"CA",2022,28.1,142.4
"CO",2022,25,131.4
"CT",2022,30.6,137.8
"DE",2022,37.9,156.8
NA,2022,24.3,NA
"FL",2022,31.6,140.9
"GA",2022,37,183.9
"HI",2022,25.9,128.4
"ID",2022,33.2,156.3
"IL",2022,33.4,166.6
"IA",2022,37.4,176.8
"KS",2022,35.7,173.2
"KY",2022,37.7,208.6
"LA",2022,40.1,224
"ME",2022,33.1,167.1
"MD",2022,33.2,155.8
"MA",2022,27.2,132.3
"MI",2022,34.5,206.3
"MN",2022,33.6,124.1
"MS",2022,39.5,248
"MO",2022,36.4,199.8
"MT",2022,30.5,165.9
"NE",2022,35.3,154.3
"NV",2022,33.5,196.8
"NH",2022,30.2,147.5
"NJ",2022,29.1,152.8
"NM",2022,32.4,156.8
"NY",2022,30.1,159.2
"NC",2022,34.1,165.8
"ND",2022,35.4,155
"OH",2022,38.1,193.9
"OK",2022,40,257.1
"OR",2022,30.9,145.4
"PA",2022,33.4,173.4
"RI",2022,30.8,152.6
"SC",2022,35,177.7
"SD",2022,36.8,158.2
"TN",2022,38.9,218.3
"TX",2022,35.5,172.3
"UT",2022,31.1,159.4
"VT",2022,26.8,165.1
"VA",2022,35.2,159.2
"WA",2022,31.7,142.7
"WV",2022,41,209.5
"WI",2022,37.7,166.6
"WY",2022,34.3,157.1
