year,state,rate,state_abbr,data_value
2020,MS,59.2,NA,NA
2020,MO,47,NA,NA
2020,MT,42.4,NA,NA
2020,NE,43.4,NA,NA
2020,NV,44.9,NA,NA
2020,NH,33.4,NA,NA
2020,NJ,25,NA,NA
2020,NM,41.3,NA,NA
2020,NY,25.5,NA,NA
2020,NC,38.5,NA,NA
2020,ND,34.6,NA,NA
2020,OH,44.6,NA,NA
2020,OK,60.1,NA,NA
2020,OR,34.6,NA,NA
2020,PA,32.8,NA,NA
2020,RI,29.5,NA,NA
2020,SC,43.6,NA,NA
2020,SD,36.9,NA,NA
2020,TN,51.2,NA,NA
2020,TX,36.2,NA,NA
2020,UT,32.7,NA,NA
2020,VT,37.4,NA,NA
2020,VA,32.8,NA,NA
2020,WA,29.6,NA,NA
2020,WV,59.5,NA,NA
2020,WI,35.6,NA,NA
2020,WY,53.5,NA,NA
2019,AL,55.6,NA,NA
2019,AK,30.4,NA,NA
2019,AZ,38.1,NA,NA
2019,AR,60.2,NA,NA
2019,CA,29,NA,NA
2019,CO,40.8,NA,NA
2019,CT,27.8,NA,NA
2019,DE,35.2,NA,NA
2019,FL,35,NA,NA
2019,GA,42.1,NA,NA
2019,HI,17.6,NA,NA
2019,ID,47.5,NA,NA
2019,IL,35,NA,NA
2019,IN,56.1,NA,NA
2019,IA,43.8,NA,NA
2019,KS,48,NA,NA
2019,KY,62.4,NA,NA
2019,LA,38.6,NA,NA
2019,ME,48.3,NA,NA
2019,MD,29.2,NA,NA
2019,MA,31.2,NA,NA
2019,MI,43.4,NA,NA
2019,MN,32,NA,NA
2019,MS,56.8,NA,NA
2019,MO,46.7,NA,NA
2019,MT,50.8,NA,NA
2019,NE,46.1,NA,NA
2019,NV,47.3,NA,NA
2019,NH,39.2,NA,NA
2019,NJ,26.3,NA,NA
2019,NM,40.1,NA,NA
2019,NY,27.5,NA,NA
2019,NC,41.5,NA,NA
2019,ND,35,NA,NA
2019,OH,45.9,NA,NA
2019,OK,62.4,NA,NA
2019,OR,37.9,NA,NA
2019,PA,34.2,NA,NA
2019,RI,34,NA,NA
2019,SC,43.1,NA,NA
2019,SD,45.1,NA,NA
2019,TN,53.2,NA,NA
2019,TX,38.6,NA,NA
2019,UT,31.1,NA,NA
2019,VT,36.9,NA,NA
2019,VA,35.8,NA,NA
2019,WA,33.9,NA,NA
2019,WV,62,NA,NA
2019,WI,36.7,NA,NA
2019,WY,51.7,NA,NA
2018,AL,58,NA,NA
2018,AK,35.3,NA,NA
2018,AZ,41.2,NA,NA
2018,AR,61.7,NA,NA
2018,CA,30.9,NA,NA
2018,CO,44,NA,NA
2018,CT,28.9,NA,NA
2018,DE,40.4,NA,NA
2018,FL,37,NA,NA
2018,GA,45.7,NA,NA
2018,HI,19.6,NA,NA
2018,ID,44.1,NA,NA
2018,IL,36.2,NA,NA
2018,IN,57.2,NA,NA
2018,IA,43.8,NA,NA
2018,KS,50.4,NA,NA
2018,KY,62.1,NA,NA
2018,LA,43.1,NA,NA
2018,ME,45.6,NA,NA
2018,MD,31,NA,NA
2018,MA,30.9,NA,NA
2018,MI,44.1,NA,NA
2018,MN,34,NA,NA
2018,MS,59.9,NA,NA
2018,MO,50.2,NA,NA
2018,MT,47,NA,NA
2018,NE,47.7,NA,NA
2018,NV,49.3,NA,NA
